Processo;Superintendencia;Ano_instauracao;Tipologia_processo;Grupo_economico;Servico_telecom;Renuncia;Valor_multa
535000290802016;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;330000,00
535000290812016;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;20200,00
535000290842016;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;30471,94
535000290852016;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;100000,00
535000290862016;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;44195,09
535000290882016;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;20000,00
535000290962016;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;330000,00
535000290982016;Superintendencia 1;2016;Interconexão;Outros;SCM;Não;20000,00
535000291022016;Superintendencia 1;2016;Interconexão;Outros;SCM;Não;330000,00
535000291052016;Superintendencia 1;2013;Obstrução à Fiscalização;Grupo 6;SMP;Não;20000,00
535000291072016;Superintendencia 1;2014;Obstrução à Fiscalização;Outros;SCM;Sim;13074,22
535000291212016;Superintendencia 1;2016;Obrigações Legais e Contratuais;Grupo 4;SCM;Não;333300,00
535000291302016;Superintendencia 1;2013;Obstrução à Fiscalização;Grupo 1;SCM;Sim;20000,00
535000291322016;Superintendencia 1;2013;Descumprimento de Determinação;Grupo 1;SCM;Não;20000,00
535000291412016;Superintendencia 1;2016;Obstrução à Fiscalização;Grupo 2;SCM;Não;12817,87
535000291422016;Superintendencia 2;2013;Obstrução à Fiscalização;Outros;SCM;Não;11222,05
535000293322013;Superintendencia 2;2016;Obstrução à Fiscalização;Grupo 2;STFC;Sim;140557,96
535000297662014;Superintendencia 2;2016;Obstrução à Fiscalização;Grupo 1;STFC;Não;69222,47
535000298492016;Superintendencia 2;2016;Obstrução à Fiscalização;Grupo 2;STFC;Sim;203550,82
535000298502014;Superintendencia 2;2016;Obstrução à Fiscalização;Grupo 3;STFC;Sim;5842,56
535000298512014;Superintendencia 2;2016;Obstrução à Fiscalização;Grupo 3;STFC;Sim;27340,83
535000298522014;Superintendencia 2;2016;Obstrução à Fiscalização;Grupo 3;SMP;Sim;8167,30
535000323412018;Superintendencia 2;2016;Obstrução à Fiscalização;Outros;SCM;Não;1701,45
535000333872018;Superintendencia 2;2016;Obstrução à Fiscalização;Outros;STFC;Não;64930,09
535000502182018;Superintendencia 1;2018;Outros;Outros;STFC;Não;164578,47
535000506382018;Superintendencia 1;2018;Descumprimento de Determinação;Outros;STFC;Não;21202,06
535000559022017;Superintendencia 1;2017;Outros;Grupo 6;SMP;Sim;75586,02
535000564202017;Superintendencia 1;2017;Direitos do Consumidor - SCM;Grupo 3;SMP;Sim;271830,08
535000573892017;Superintendencia 2;2018;Certificação e Não Outorgado - Radiofrequência;Outros;SMP;Sim;3942,79
535000576082017;Superintendencia 2;2018;Não Outorgado - Radiofrequência;Outros;SMP;Não;43249,73
535000580012018;Superintendencia 2;2018;Obstrução à Fiscalização;Outros;SCM;Não;16729,76
